,Train_R2,Test_R2,RMSE,MAE
Linear Regression,0.9898905532264282,0.9938191950563469,0.4416881437048776,0.35942842498493055
Ridge Regression,0.9897632530923958,0.9937324763780448,0.444775864252906,0.362501091340495
Lasso Regression,0.9852949464478331,0.9918626931974954,0.5067964543417475,0.39540231165061424
Random Forest,0.9983342062268061,0.9887351832362246,0.5962869275776539,0.4674499999999974
Gradient Boosting,0.9995250609731609,0.9885874338247183,0.6001846402579663,0.4615431603151327
